; phones.csv -- Real public phone numbers (gov, utilities, universities,
; hospitals, transport, embassies, banks, airlines) gathered 2026-05-27
; from each organization's official site via web search.
;
; Purpose: a dataset DEMO_ENGINE (st/src/rt/demo_eng.cpp::GenCall) can draw
; from instead of synthesizing random subscriber digits, so demo runs
; produce dial sequences that resolve to named destinations in ph_info.dat
; (built from util/inf2dat/{local,ddn,ddi}.inf).
;
; Format: RFC 4180 CSV with all string fields double-quoted.  Lines that
; start with ';' (this header block) are comments -- the consuming parser
; in Borland C++ 3.1 skips them with a single `if (line[0]==';') continue;`.
; CRLF line endings (enforced by .gitattributes `*.csv text eol=crlf`).
;
; Columns:
;   category            LOCAL | NAL | INTER
;   name                Organization / destination (ASCII only).
;   country             ISO 3166-1 alpha-2.
;   country_code        ITU-T E.164 country calling code.
;   region              City / state.  Informational only.
;   area_code           City or area dial code as dialed from SmartTar.
;   subscriber          Subscriber digits only, no formatting.
;   dial_from_smarttar  Exact digit sequence the engine feeds the FSM AFTER
;                       prepending access digits (LOCAL: empty access;
;                       NAL: '09'; INTER: '009'). This is the field GenCall
;                       consumes.
;   published_number    As shown on the organization's own contact page.
;   source              URL where the number was found.
;   notes               Optional context.
;
; Dial-plan note: Colombian numbers are normalized to the 2003-era plan
; SmartTar was built for.  Modern Colombian numbers (post-Resolución CRC
; 5826, 2021) carry a 60+area prefix (604 Antioquia, 601 Bogota/Cundi-
; namarca, 605 Caribbean coast).  That prefix is stripped from
; dial_from_smarttar so it matches the ph_info.dat numbering tree.  The
; published_number column preserves the modern format.
;
; INTER budget note: the engine's INTER_DIGITS=14 leaves 11 digits after
; the '009' access.  Some Mexico City entries are 12 digits and lose a
; trailing digit when the engine truncates -- the country/city prefix
; still matches ddi.inf so call classification is unaffected.
;
"category","name","country","country_code","region","area_code","subscriber","dial_from_smarttar","published_number","source","notes"
"NAL","Alcaldia de Cucuta -- PBX","CO","57","Cucuta Norte de Santander","7","5784949","75784949","(7) 5784949","https://cucuta.gov.co/ctic-contactenos/","Prefix 7578 matches Cucuta(N.s) in ddn.inf."
"NAL","Alcaldia Municipal de Neiva -- conmutador","CO","57","Neiva Huila","8","8716080","88716080","+57 8716080","https://alcaldianeiva.gov.co/","Prefix 8871 matches Neiva(Hui) 8870-8877 range in ddn.inf."
"INTER","The White House -- main switchboard","US","1","Washington DC","202","4561414","12024561414","202-456-1414","https://www.whitehouse.gov/contact/",""
"INTER","The White House -- comments line","US","1","Washington DC","202","4561111","12024561111","202-456-1111","https://www.whitehouse.gov/contact/",""
"INTER","U.S. Department of State -- main number","US","1","Washington DC","202","6474000","12026474000","202-647-4000","https://www.state.gov/official-addresses/",""
"INTER","U.S. Department of State -- from outside USA","US","1","Washington DC","202","5014444","12025014444","+1 202-501-4444","https://www.state.gov/official-addresses/",""
"INTER","U.S. State Dept Overseas Citizens Services (24h hotline)","US","1","Washington DC","202","6475225","12026475225","202-647-5225","https://travel.state.gov/",""
"INTER","Moncloa -- Presidencia del Gobierno de Espana (centralita)","ES","34","Madrid","91","3353535","34913353535","91 335 35 35","https://www.lamoncloa.gob.es/",""
"INTER","Ayuntamiento de Madrid -- centralita","ES","34","Madrid","91","5881000","34915881000","915 881 000","https://www.madrid.es/",""
"INTER","Ayuntamiento de Madrid -- 010 Linea Madrid desde fuera","ES","34","Madrid","91","4800010","34914800010","914 800 010","https://www.madrid.es/",""
"INTER","Ayuntamiento de Barcelona -- centralita","ES","34","Barcelona","93","4027000","34934027000","934 027 000","https://ajuntament.barcelona.cat/",""
"INTER","Ayuntamiento de Barcelona -- 010 area metropolitana","ES","34","Barcelona","93","1537010","34931537010","931 537 010","https://ajuntament.barcelona.cat/",""
"INTER","Palacio Nacional de Mexico -- conmutador (Presidencia)","MX","52","Ciudad de Mexico","55","10005600","525510005600","55 1000 5600","https://www.gob.mx/palacionacional","12-digit dial exceeds engine INTER_DIGITS=14 by one -- trailing digit truncated. Country/city prefix 5255 still matches ddi.inf so the call classifies as Mexico City correctly."
"INTER","Palacio Nacional de Mexico -- linea visitantes","MX","52","Ciudad de Mexico","55","36881255","525536881255","01 55 3688 1255","https://www.gob.mx/palacionacional","12-digit dial -- trailing digit truncated by engine. See Palacio Nacional conmutador note."
"INTER","UNAM -- Rectoria Ciudad Universitaria","MX","52","Ciudad de Mexico","55","56221280","525556221280","55 5622 1280","https://telefonia.unam.mx/","12-digit dial -- trailing digit truncated by engine. See Palacio Nacional conmutador note."
"INTER","Buckingham Palace -- Public Information Office (UK)","GB","44","London","20","79304832","442079304832","+44 (0)20 7930 4832","https://www.royal.uk/contact","12-digit dial -- trailing digit truncated by engine. Prefix 44 matches Reino Unido in ddi.inf."
"INTER","Royal Collection Trust -- switchboard (UK)","GB","44","London","20","78391377","442078391377","+44 (0)20 7839 1377","https://www.rct.uk/","12-digit dial -- trailing digit truncated. Prefix 44 matches Reino Unido."
"INTER","Palais de l'Elysee -- Presidence de la Republique (FR)","FR","33","Paris","1","42928100","33142928100","01 42 92 81 00","https://www.elysee.fr/","11-digit dial -- exact fit. Prefix 33 matches Francia in ddi.inf."
"INTER","Bundeskanzleramt -- Berlin (DE)","DE","49","Berlin","30","184000","4930184000","+49 30 18400-0","https://www.bundeskanzler.de/","10-digit dial -- random pad. Prefix 49 matches Alemania in ddi.inf."
"INTER","Palazzo del Quirinale -- Palazzo Sant'Andrea (IT)","IT","39","Roma","6","46992681","39646992681","06 46992681","https://www.quirinale.it/it/pagine/contatti","11-digit dial -- exact fit. Prefix 39 matches Italia,Vaticano in ddi.inf."
"INTER","Casa Rosada -- Presidencia de la Nacion (AR)","AR","54","Buenos Aires","11","43443600","541143443600","(011) 4344-3600","https://www.casarosada.gob.ar/","12-digit dial -- trailing digit truncated. Prefix 54 matches Argentina in ddi.inf."
"INTER","Palacio do Planalto -- Presidencia (BR)","BR","55","Brasilia","61","34112317","556134112317","(61) 3411-2317","https://www.gov.br/planalto/","12-digit dial -- trailing digit truncated. Prefix 55 matches Brasil in ddi.inf."
"INTER","Palacio de La Moneda -- Presidencia (CL)","CL","56","Santiago","2","26904000","56226904000","(56 2) 2690 4000","https://www.gob.cl/la-moneda","11-digit dial -- exact fit. Prefix 56 matches Chile in ddi.inf."
"INTER","Parliament of Canada -- Library of Parliament (CA)","CA","1","Ottawa ON","613","9924793","16139924793","613-992-4793","https://lop.parl.ca/ContactUs/contact-us-e.html","11-digit dial -- exact fit. Prefix 1613 matches Canada in ddi.inf."
